Name,Exchange,Ticker,corr
Nila Infrastructures Ltd,BSE,NILA.BO,-21.33
NIIT Limited,NSI,NIITLTD.NS,-46.01
Nihar Info Global Ltd,BSE,NIHARINF.BO,1.18
NHPC Limited,NSI,NHPC.NS,-17.45
N.G. Industries Limited,BSE,NGIND.BO,2.98
National Fertilizers Ltd.,BSE,NFL.BO,-6.38
Nelco Limited,NSI,NELCO.NS,-11.45
Nelcast Limited,NSI,NELCAST.NS,-23.35
Nelcast Limited,BSE,NELCAST.BO,-23.76
Neelkanth Rockminerals Ltd.,BSE,NEELKAN.BO,
North Eastern Carrying Corporation Limited,NSI,NECCLTD.NS,
Neelamalai Agro Industries Ltd.,BSE,NEAGI.BO,-16.05
Steel Authority of India Limited,BSE,SAIL.BO,-50.21
Container Corporation of India Limited,NSI,CONCOR.NS,2.61
Unique Organics Ltd.,BSE,UNIQUEO.BO,-3.77
Union Bank of India,NSI,UNIONBANK.NS,-43.67
The Tinplate Company Of India Limited,BSE,TINPLATE.BO,-15.13
The Shipping Corporation of India Limited,BSE,SCI.BO,-57.5
Raj Oil Mills Limited,BSE,RAJOIL.BO,
OVOBEL FOODS LTD.,BSE,OVOBELE.BO,
ORIENT PRESS LTD.,BSE,ORIENTLTD.BO,10.42
ORIENT BELL LIMITED,BSE,ORIENTBELL.BO,0.77
Organic Coatings Ltd.,BSE,ORGCOAT.BO,1.91
OMKAR SPECIALITY CHEMICALS LTD,BSE,OMKARCHEM.BO,-20.81
Omaxe Limited,NSI,OMAXE.NS,-23.78
Omaxe Ltd.,BSE,OMAXE.BO,-24.87
Omax Autos Limited,NSI,OMAXAUTO.NS,-12.85
OK Play India Limited,BSE,OKPLA.BO,4.47
Oil India Limited,NSI,OIL.NS,-25.38
Oil India Limited,BSE,OIL.BO,-25.4
Oberoi Realty Limited,NSI,OBEROIRLTY.NS,-9.56
Multi Commodity Exchange of India Limited,NSI,MCX.NS,-52.57
La Opala RG Limited,NSI,LAOPALA.NS,-27.02
Lahoti Overseas Limited,BSE,LAHOTIOV.BO,-18.78
Indian Oil Corporation Limited,BSE,IOC.BO,28.04
Indian Overseas Bank,BSE,IOB.BO,-49.84
GKB Ophthalmics Ltd,BSE,GKB.BO,-10.19
Central Bank of India,BSE,CENTRALBK.BO,-42.47
Bank of India Limited,NSI,BANKINDIA.NS,-37.15
Bang Overseas Limited,NSI,BANG.NS,-50.69
Bang Overseas Ltd.,BSE,BANG.BO,-36.5
Aksh Optifibre Limited,BSE,AKSHOPTFBR.BO,-12.99
Automobile Corp. of Goa Ltd.,BSE,ACGL.BO,-10.41
Aban Offshore Limited,NSI,ABAN.NS,-40.95
Onward Technologies Limited,NSI,ONWARDTEC.NS,-30.78
GULF OIL LUBRICANTS INDIA LTD,BSE,GULFOILLUB.BO,
Transport Corporation of India Limited,NSI,TCI.NS,-20.99
ORIENT PAPER & INDUSTRIES LTD.,BSE,ORIENTPPR.BO,-44.22
BANK OF BARODA,BSE,BANKBARODA.BO,-13.2
Sahara One Media and Entertainment Limited,BSE,SAHARA.BO,-30.13
Orient Bell Limited,NSI,ORIENTBELL.NS,2.25
OPTIEMUS INFRACOM LTD,BSE,OPTIEMUS.BO,-34.71
Quintegra Solutions Limited,NSI,QUINTEGRA.NS,
Union Quality Plastics Limited,BSE,UNQTYMI.BO,
Quick Heal Technologies Limited,NSI,QUICKHEAL.NS,
QUASAR INDIA LTD,BSE,QUASAR.BO,
QUANTUM BUILD-TECH LTD,BSE,QUANTBUILD.BO,
Quantum Gold ETF,NSI,QGOLDHALF.NS,33.35
Quantum Index ETF,NSI,QNIFTY.NS,19.42
Quantum Mutual Fund - Quantum Index Fund,BSE,QNIFTY.BO,
Quick Heal Technologies Limite,BSE,QUICKHEAL.BO,
Quantum Mutual Fund - Quantum Gold Fund,BSE,QGOLDHALF.BO,32.69
QUADRANT TELEVENTURES LIMITED,BSE,QUADRANT.BO,
QUEST SOFTECH (INDIA) LTD,BSE,QUEST.BO,
Ritesh Properties and Industries Ltd.,BSE,RPIL.BO,30.64
RFL International Ltd,BSE,RFLINT.BO,
Rapicut Carbides Ltd.,BSE,RAPICUT.BO,-21.94
Indoco Remedies Limited,NSI,INDOCO.NS,-17.19
Coastal Roadways Limited,BSE,COARO.BO,
BSEL Infrastructure Realty Limited,BSE,BSELINFRA.BO,-54.43
Texmaco Rail & Engineering Limited,NSI,TEXRAIL.NS,-27.85
Sunteck Realty Limited,BSE,SUNTECK.BO,-38.05
Shree Steel Wire Ropes Ltd.,BSE,SSWRL.BO,
Samkrg Pistons and Rings Limited,BSE,SAMKRG.BO,-10.69
Uttam Galva Steels Limited,NSI,UTTAMSTL.NS,-11.49
Ushdev International Limited,BSE,USHDI.BO,-4.98
Usha Martin Limited,NSI,USHAMART.NS,-36.49
Universal Starch Chem Allied Ltd.,BSE,UNIVSTAR.BO,18.79
Universal Arts Ltd.,BSE,UNIVARTS.BO,
United Textiles Limited,BSE,UNITEDTE.BO,
Unitech Limited,NSI,UNITECH.NS,-37.23
Uniply Industries Limited,NSI,UNIPLY.NS,
Uniphos Enterprises Ltd.,NSI,UNIENTER.NS,-8.2
Uni Abex Alloy Products Ltd.,BSE,UNIABEXAL.BO,-3.0
Usha Martin Education & Solutions Limited,NSI,UMESLTD.NS,
The Ugar Sugar Works Limited,NSI,UGARSUGAR.NS,-48.97
City Union Bank Limited,NSI,CUB.NS,-16.79
Carborundum Universal Limited,BSE,CARBORUNIV.BO,-30.71
Barak Valley Cements Limited,NSI,BVCL.NS,4.78
V.S.T. Tillers Tractors Limited,NSI,VSTTILLERS.NS,3.38
VST Industries Limited,NSI,VSTIND.NS,-24.09
Voltas Ltd.,BSE,VOLTAS.BO,-18.68
Voltamp Transformers Limited,NSI,VOLTAMP.NS,-32.54
Vivid Global Industries Limited,BSE,VIVIDIND.BO,18.82
Visagar Polytex Ltd.,BSE,VIVIDHA.BO,24.04
Ed & Tech international Limited,NSI,VISUINTL.NS,
Virtualsoft Systems Ltd,BSE,VIRTUALS.BO,
VIP Industries Limited,NSI,VIPIND.NS,-16.56
Vinyoflex Ltd.,BSE,VINYOFL.BO,23.64
Vimta Labs Limited,NSI,VIMTALABS.NS,-35.47
Vijay Solvex Ltd,BSE,VIJSOLX.BO,
Videocon Industries Limited,NSI,VIDEOIND.NS,
Vesuvius India Limited,BSE,VESUVIUS.BO,-28.87
Venlon Enterprises Limited,BSE,VENLONENT.BO,10.85
Veer Energy & Infrastructure Ltd,BSE,VEERENRGY.BO,-14.16
Swasti Vinayaka Synthetics Limited,BSE,SWASTIVI.BO,-47.23
Royal Cushion Vinyl Products,BSE,ROYALCU.BO,-19.78
Hindustan Media Ventures Limited,NSI,HMVL.NS,-10.77
GeeCee Ventures Ltd,BSE,GEECEE.BO,-27.88
Barak Valley Cement Ltd.,BSE,BVCL.BO,5.65
Siddha Ventures Ltd,BSE,SIDDHA.BO,
VLS Finance Limited,NSI,VLSFINANCE.NS,-19.42
